ID,SEX,EDUCATION,MARRIAGE,AGE,LIMIT_BAL,bill_ap,bill_m,bill_ju,bill_jy,bill_ag,bill_s,pmt_ap,pmt_m,pmt_ju,pmt_jy,pmt_ag,pmt_s,pay_ap,pay_m,pay_ju,pay_jy,pay_ag,pay_s,DEFAULT
1,female,university,1,24,20000,0,0,0,689,3102,3913,0,0,0,0,689,0,-2,-2,-1,-1,2,2,default
2,female,university,2,26,120000,3261,3455,3272,2682,1725,2682,2000,0,1000,1000,1000,0,2,0,0,0,2,-1,default
3,female,university,2,34,90000,15549,14948,14331,13559,14027,29239,5000,1000,1000,1000,1500,1518,0,0,0,0,0,0,not default
4,female,university,1,37,50000,29547,28959,28314,49291,48233,46990,1000,1069,1100,1200,2019,2000,0,0,0,0,0,0,not default
5,male,university,1,57,50000,19131,19146,20940,35835,5670,8617,679,689,9000,10000,36681,2000,0,0,0,-1,0,-1,not default
6,male,graduate school,2,37,50000,20024,19619,19394,57608,57069,64400,800,1000,1000,657,1815,2500,0,0,0,0,0,0,not default
7,male,graduate school,2,29,500000,473944,483003,542653,445007,412023,367965,13770,13750,20239,38000,40000,55000,0,0,0,0,0,0,not default
8,female,university,2,23,100000,567,-159,221,601,380,11876,1542,1687,581,0,601,380,-1,0,0,-1,-1,0,not default
9,female,high school,1,28,140000,3719,11793,12211,12108,14096,11285,1000,1000,1000,432,0,3329,0,0,0,2,0,0,not default
10,male,high school,2,35,20000,13912,13007,0,0,0,0,0,1122,13007,0,0,0,-1,-1,-2,-2,-2,-2,not default
11,female,high school,2,34,200000,3731,1828,2513,5535,9787,11073,66,3738,300,50,12,2306,-1,0,0,2,0,0,not default
12,female,graduate school,2,51,260000,13668,22287,8517,9966,21670,12261,3640,0,22301,8583,9966,21818,2,-1,-1,-1,-1,-1,not default
13,female,university,2,41,630000,2870,6500,6500,6500,6500,12137,0,2870,6500,6500,6500,1000,-1,-1,-1,-1,0,-1,not default
14,male,university,2,30,70000,36894,36137,66782,65701,67369,65802,0,1500,3000,3000,0,3200,2,0,0,2,2,1,default
15,male,graduate school,2,29,250000,55512,56875,59696,63561,67060,70887,3000,3000,3000,3000,3000,3000,0,0,0,0,0,0,not default
16,female,high school,3,23,50000,30211,29531,28771,28116,29173,50614,1100,1300,1200,1100,1500,0,0,0,0,0,2,1,not default
17,male,graduate school,2,24,20000,19104,17905,18338,17428,18010,15376,0,1650,0,1500,0,3200,2,2,2,2,0,0,default
18,male,graduate school,1,49,320000,195599,5856,70074,194663,246536,253286,50000,195599,20000,75940,10000,10358,-1,-1,-1,0,0,0,not default
19,female,graduate school,1,49,360000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
20,female,graduate school,2,29,180000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
21,female,high school,2,39,130000,930,11802,20616,24489,27688,38358,33764,930,2000,1000,1537,3000,-1,0,0,0,0,0,not default
22,female,university,1,39,120000,316,632,0,316,316,316,0,316,632,0,316,316,-1,-1,-1,-1,-1,-1,default
23,female,university,2,26,70000,46012,46905,44006,45020,42445,41087,1820,0,3601,0,3582,2007,2,2,2,0,0,2,default
24,female,graduate school,1,40,450000,0,0,560,1473,19420,5512,1128,0,0,560,1473,19428,-2,-2,-2,-2,-2,-2,default
25,male,graduate school,2,23,90000,8292,6360,5398,0,7070,4744,2000,2045,1200,5398,0,5757,0,0,-1,0,0,0,not default
26,male,high school,2,23,50000,30046,29829,28967,36023,41810,47620,997,1062,1432,1001,1426,1973,0,0,0,0,0,0,not default
27,male,graduate school,2,27,60000,-189,127,-57,259,-425,-109,1000,0,500,0,1000,0,-1,-1,-1,-1,-2,1,default
28,female,high school,2,30,50000,19617,18931,17878,17163,16138,22541,1012,1000,1500,1000,1300,1300,0,0,0,0,0,0,not default
29,female,high school,1,47,50000,257,30430,2040,3416,3415,650,0,257,30430,2044,3421,3415,-1,-1,-1,-1,-1,-1,not default
30,male,graduate school,2,26,50000,11400,18375,17907,17496,16575,15329,0,1600,1000,1000,1500,1500,0,0,0,0,0,0,not default
31,female,graduate school,2,27,230000,36923,14307,15339,13266,17265,16646,0,37292,14307,15339,13281,17270,-1,-1,-1,-1,-1,-1,not default
32,male,university,2,33,50000,23680,23217,22734,22102,29618,30518,716,1000,1000,1000,1500,1718,0,0,0,0,0,2,default
33,male,graduate school,2,32,100000,75589,78703,80958,82880,84071,93036,2504,3200,3204,3302,3511,3023,0,0,0,0,0,0,not default
34,female,university,1,54,500000,8981,71439,7521,22722,4152,10929,51582,981,71439,7521,22827,4152,-2,-2,-2,-2,-2,-2,not default
35,male,graduate school,1,58,500000,5293,0,3180,31130,5006,13709,768,5293,0,3180,31178,5006,-2,-2,-2,-2,-2,-2,not default
36,male,graduate school,2,30,160000,-1884,-1488,-923,-527,-131,30265,0,792,565,396,396,131,-1,-2,-2,-2,-1,-1,not default
37,male,university,1,40,280000,177413,173901,170410,180422,181328,186503,6737,6400,6400,6300,8060,8026,0,0,0,0,0,0,not default
38,female,university,2,22,60000,18660,-28335,6026,11068,9806,15054,617,47671,0,2043,1518,1500,-1,0,0,0,0,0,not default
39,male,graduate school,2,25,50000,0,0,0,0,780,0,0,0,0,0,0,780,-2,-2,-2,-1,-1,1,default
40,male,graduate school,2,31,280000,9477,17976,9976,4641,9075,498,781,9525,8000,9976,0,9075,-1,0,-1,2,-1,-1,not default
41,male,graduate school,2,33,360000,179224,195969,628699,206895,221296,218668,4000,28000,188840,6000,7000,10000,0,0,0,0,0,0,not default
42,female,graduate school,2,25,70000,65970,64718,63699,63949,66999,67521,2500,2800,2500,4042,4500,3000,0,0,0,0,0,0,not default
43,male,university,2,22,10000,4451,3670,3576,6003,3184,1877,500,1000,300,1000,2927,1500,0,0,0,0,0,0,not default
